CBSA Code,County/County Equivalent,ST,State Name,County_ST,CBSA Title,Metropolitan/Micropolitan Statistical Area,2012 pop estimate,,
12260,McDuffie County,GA,Georgia,McDuffie County GA,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,"21,663",,
12260,Burke County,GA,Georgia,Burke County GA,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,"23,125",,
12260,Edgefield County,SC,South Carolina,Edgefield County SC,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,"26,347",,
12260,Columbia County,GA,Georgia,Columbia County GA,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,"131,627",,
12260,Aiken County,SC,South Carolina,Aiken County SC,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,"162,812",,
12260,Richmond County,GA,Georgia,Richmond County GA,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,"202,587",,
12300,Kennebec County,ME,Maine,Kennebec County ME,"Augusta-Waterville, ME",Micropolitan Statistical Area,"121,853",,
12380,Mower County,MN,Minnesota,Mower County MN,"Austin, MN",Micropolitan Statistical Area,"39,372",,
12420,Caldwell County,TX,Texas,Caldwell County TX,"Austin-Round Rock, TX",Metropolitan Statistical Area,"38,734",,
12420,Bastrop County,TX,Texas,Bastrop County TX,"Austin-Round Rock, TX",Metropolitan Statistical Area,"74,763",,
12420,Hays County,TX,Texas,Hays County TX,"Austin-Round Rock, TX",Metropolitan Statistical Area,"168,990",,
12420,Williamson County,TX,Texas,Williamson County TX,"Austin-Round Rock, TX",Metropolitan Statistical Area,"456,232",,
12420,Travis County,TX,Texas,Travis County TX,"Austin-Round Rock, TX",Metropolitan Statistical Area,"1,095,584",,
12460,Decatur County,GA,Georgia,Decatur County GA,"Bainbridge, GA",Micropolitan Statistical Area,"27,509",,
12540,Kern County,CA,California,Kern County CA,"Bakersfield, CA",Metropolitan Statistical Area,"856,158",,
12580,Queen Anne's County,MD,Maryland,Queen Anne's County MD,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,"48,595",,
12580,Carroll County,MD,Maryland,Carroll County MD,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,"167,217",,
12580,Harford County,MD,Maryland,Harford County MD,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,"248,622",,
12580,Howard County,MD,Maryland,Howard County MD,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,"299,430",,
12580,Anne Arundel County,MD,Maryland,Anne Arundel County MD,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,"550,488",,
12580,Baltimore city,MD,Maryland,Baltimore city MD,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,"621,342",,
12580,Baltimore County,MD,Maryland,Baltimore County MD,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,"817,455",,
12620,Penobscot County,ME,Maine,Penobscot County ME,"Bangor, ME",Metropolitan Statistical Area,"153,746",,
12660,Sauk County,WI,Wisconsin,Sauk County WI,"Baraboo, WI",Micropolitan Statistical Area,"62,597",,
12680,Nelson County,KY,Kentucky,Nelson County KY,"Bardstown, KY",Micropolitan Statistical Area,"44,319",,
12700,Barnstable County,MA,Massachusetts,Barnstable County MA,"Barnstable Town, MA",Metropolitan Statistical Area,"215,423",,
12740,Washington County,VT,Vermont,Washington County VT,"Barre, VT",Micropolitan Statistical Area,"59,465",,
12780,Washington County,OK,Oklahoma,Washington County OK,"Bartlesville, OK",Micropolitan Statistical Area,"51,633",,
12820,Morehouse Parish,LA,Louisiana,Morehouse Parish LA,"Bastrop, LA",Micropolitan Statistical Area,"27,559",,
12860,Genesee County,NY,New York,Genesee County NY,"Batavia, NY",Micropolitan Statistical Area,"59,977",,
12900,Independence County,AR,Arkansas,Independence County AR,"Batesville, AR",Micropolitan Statistical Area,"37,025",,
12940,St. Helena Parish,LA,Louisiana,St. Helena Parish LA,"Baton Rouge, LA",Metropolitan Statistical Area,"11,071",,
12940,West Feliciana Parish,LA,Louisiana,West Feliciana Parish LA,"Baton Rouge, LA",Metropolitan Statistical Area,"15,405",,
12940,East Feliciana Parish,LA,Louisiana,East Feliciana Parish LA,"Baton Rouge, LA",Metropolitan Statistical Area,"20,008",,
12940,Pointe Coupee Parish,LA,Louisiana,Pointe Coupee Parish LA,"Baton Rouge, LA",Metropolitan Statistical Area,"22,726",,
12940,West Baton Rouge Parish,LA,Louisiana,West Baton Rouge Parish LA,"Baton Rouge, LA",Metropolitan Statistical Area,"24,106",,
