line,name,url,created_at,updated_at,the_geom,cartodb_id,the_geom_webmercator
D-F-N-Q,Stillwell Ave & Surf Ave At Ne Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000DDF6B4E6C77E52C0CF1E9D47C5494440,850,0101000020110F00008AFDCD72806A5FC1F3DA019308E25241
F-Q,8th St & Surf Ave At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000A6BE0035857E52C0BECDCF14B3494440,851,0101000020110F0000397C66290F6A5FC18ABCA939F4E15241
F,West 6th St & Neptune Ave At Ne Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000A900D0455D7E52C0D508864C504A4440,852,0101000020110F0000B85E4854CB695FC1524EF906A4E25241
D,Stillwell Ave & Bay 50th St At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000002BD1DC72F57E52C036718E6B434B4440,853,0101000020110F0000D49DC0D0CD6A5FC19EA382E9B3E35241
D,Stillwell Ave & Bay 50th St At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000F3A11B7BF67E52C0F9FA5C5D4E4B4440,854,0101000020110F0000398A9991CF6A5FC1880BFB26C0E35241
D,Stillwell Ave & Bay 50th St At Se Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000C4A383E0F17E52C0C553EE47514B4440,855,0101000020110F000034C5A3BFC76A5FC1DD08ED69C3E35241
D,25th Ave & 86th St At Se Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000004D5828232E7F52C04E77DE87834C4440,856,0101000020110F0000E38A581B2E6B5FC16324E9F019E55241
D,25th Ave & 86th St At Ne Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000030779C8C2A7F52C0CE21C12E8A4C4440,857,0101000020110F0000F5341A03286B5FC10DC1A66121E55241
F,Mcdonald Ave & Avenue X At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000007156A3315A7E52C05CFFEBD4954B4440,858,0101000020110F0000CE317D19C6695FC1199DA81410E45241
N,8th St & Avenue U At Ne Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000FE6DF5F3A67E52C0B203F71C584C4440,859,0101000020110F0000EB3C897B486A5FC110809E60E9E45241
Q,Ocean Pkwy & Brighton Beach Rd At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000EB3BDA99097E52C03DB67C1CCD494440,860,0101000020110F0000003B53343D695FC17098D05411E25241
Q,Ocean Pkwy & Brighton Beach Rd At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000054FBAE5B047E52C0FA70D14ECD494440,861,0101000020110F0000731E844C34695FC1A90E188D11E25241
B-Q,Branch 6 St & Brighton Beach Rd At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000014DB439F8F7D52C04F57D531E7494440,862,0101000020110F0000BCF8D2026E685FC1B178577F2EE25241
