storenum,opendate,date_super,conversion,st,county,streetaddr,strcity,strstate,zipcode,type_store,latitude,longitude
492,Tue Oct 18 00:00:00 -0400 1983,Fri Mar 01 00:00:00 -0500 1996,1,18,083,650 KIMMEL RD,Vicennes,IN,47591,Supercenter,38.667744,-87.495984
493,Tue Apr 05 00:00:00 -0500 1983,,,21,017,2000 PARIS BYPASS,Paris,KY,40361,Wal-Mart,38.013307,-84.174401
494,Tue Oct 05 00:00:00 -0400 1982,Fri Mar 01 00:00:00 -0500 1996,1,13,077,1025 BULLSBORO DR,Newnan,GA,30265,Supercenter,33.395714,-84.760821
495,Tue Aug 02 00:00:00 -0400 1983,Wed Mar 01 00:00:00 -0500 2000,1,28,087,1913 HWY 45 NORTH,Columbus,MS,39701,Supercenter,33.528639,-88.43677
497,Tue Mar 01 00:00:00 -0500 1983,Sat Mar 01 00:00:00 -0500 1997,1,21,211,500 TAYLORSVILLE RD,Shelbyville,KY,40065,Supercenter,38.189188,-85.276062
498,Tue Aug 02 00:00:00 -0400 1983,,,22,059,2426 EAST OAK STREET,Jena,LA,71342,Wal-Mart,31.674041,-92.106343
499,Fri Jul 01 00:00:00 -0400 1983,Wed Aug 20 00:00:00 -0400 2003,1,40,047,5505 W OWEN K. GARRIOTT RD,Enid,OK,73703,Supercenter,36.381571,-97.907266
500,Thu Aug 02 00:00:00 -0400 1984,Wed Mar 01 00:00:00 -0500 2000,1,48,141,4530 WOODROW BEAN TRANSMTN DR.,El Paso,TX,79924,Supercenter,31.89846,-106.439181
501,Tue May 14 00:00:00 -0400 1985,Wed Mar 01 00:00:00 -0500 2000,1,28,067,1621 HWY 15 NORTH,Laurel,MS,39440,Supercenter,31.709182,-89.14864
502,Fri Jul 01 00:00:00 -0400 1983,Wed Mar 01 00:00:00 -0500 1995,1,22,057,16759 HWY 3235,Galliano,LA,70354,Supercenter,29.446818,-90.31335
503,Tue Aug 02 00:00:00 -0400 1983,,,48,089,2103 MILAM STREET,Columbus,TX,78934,Wal-Mart,29.694746,-96.540284
504,Tue Aug 02 00:00:00 -0400 1983,Wed Mar 01 00:00:00 -0500 1995,1,48,167,6702 SEAWALL BLVD,Galveston,TX,77551,Supercenter,29.263653,-94.831348
505,Tue Nov 01 00:00:00 -0500 1983,Mon Mar 01 00:00:00 -0500 1993,1,22,011,1125 NORTH PINE,Deridder,LA,70634,Supercenter,30.864985,-93.285729
506,Tue Apr 05 00:00:00 -0500 1983,,,17,025,US HWY 50 & HWY 1,Flora,IL,62839,Wal-Mart,38.650807,-88.573152
507,Tue Aug 02 00:00:00 -0400 1983,,,21,005,224 WEST PARK SHOP CTR,Lawrenceburg,KY,40342,Wal-Mart,38.022265,-84.899215
508,Tue Apr 05 00:00:00 -0500 1983,Wed Mar 01 00:00:00 -0500 1995,1,48,265,1216 JUNCTION HWY,Kerrville,TX,78028,Supercenter,30.060845,-99.168143
510,Tue Aug 16 00:00:00 -0400 1983,Tue Mar 01 00:00:00 -0500 1994,1,13,139,400 SHALLOWFORD ROAD,Gainsville,GA,30504,Supercenter,34.292711,-83.847351
511,Sat Jul 04 00:00:00 -0400 1981,Wed May 21 00:00:00 -0400 2003,1,45,085,1283 BROAD ST,Sumter,SC,29150,Supercenter,33.956907,-80.388897
512,Thu Aug 02 00:00:00 -0400 1984,Wed Aug 20 00:00:00 -0400 2003,1,48,141,10727 GATEWAY BLVD WEST,El Paso,TX,79935,Supercenter,31.750407,-106.341143
513,Tue Aug 16 00:00:00 -0400 1983,Wed Mar 01 00:00:00 -0500 1995,1,48,227,201 WEST MARCY,Big Spring,TX,79720,Supercenter,32.229209,-101.471059
514,Sat Jul 04 00:00:00 -0400 1981,Wed Mar 01 00:00:00 -0500 1995,1,45,003,2035 WHISKEY ROAD,Aiken,SC,29803,Supercenter,33.51502,-81.715023
515,Tue Aug 16 00:00:00 -0400 1983,Wed Mar 01 00:00:00 -0500 2000,1,37,039,2330 HIGHWAY 19,Murphy,NC,28906,Supercenter,35.039986,-84.08839
516,Tue Oct 04 00:00:00 -0400 1983,Tue Mar 01 00:00:00 -0500 1994,1,48,213,1200 WEST MAIN,Gun Barrel City,TX,75156,Supercenter,32.330886,-96.129007
517,Tue Aug 02 00:00:00 -0400 1983,Wed May 21 00:00:00 -0400 2003,1,40,017,951 EAST STATE HWY 152,Mustang,OK,73064,Supercenter,35.391724,-97.743945
518,Tue Nov 01 00:00:00 -0500 1983,Fri Mar 01 00:00:00 -0500 1996,1,13,057,1550 RIVERSTONE PWKY,Canton,GA,30114,Supercenter,34.257931,-84.464221
519,Tue Nov 01 00:00:00 -0500 1983,,,21,167,900 SOUTH COLLEGE,Harrodsburg,KY,40330,Wal-Mart,37.745066,-84.841483
520,Wed Feb 01 00:00:00 -0500 1984,Wed Feb 20 00:00:00 -0500 2002,1,13,013,440 ATLANTA HWY N.W.,Winder,GA,30680,Supercenter,34.002518,-83.804245
521,Tue Mar 20 00:00:00 -0500 1984,Wed Mar 19 00:00:00 -0500 2003,1,22,019,2500 N. MARTIN LUTHER KING HWY,Moss Bluff,LA,70601,Supercenter,30.231258,-93.184715
522,Tue Mar 20 00:00:00 -0500 1984,Wed Apr 14 00:00:00 -0400 2004,1,48,201,14215 FM 2100,Crosby,TX,77532,Supercenter,29.893088,-95.063361
523,Tue Nov 29 00:00:00 -0500 1983,,,48,365,423 W LOOP 436,Carthage,TX,75633,Wal-Mart,32.012645,-94.79262
524,Tue Aug 16 00:00:00 -0400 1983,,,48,255,337 N SUNSET,Kenedy,TX,78119,Wal-Mart,28.826352,-97.856529
526,Tue May 24 00:00:00 -0400 1983,Sat Mar 01 00:00:00 -0500 1997,1,21,111,3706 DIANN MARIE ROAD,Louisville (NE),KY,40241,Supercenter,38.299554,-85.542865
