cartodb_id,the_geom,name,iso2,population
2400408,0101000020E610000002ECA35357BE01C02E815B77F3144440,Tondos,ES,0
2400419,0101000020E6100000D4E253008C6707C00EB4024356534440,Tomellosa,ES,0
2400456,0101000020E61000001188D7F50B3601C064BD18CA897E4440,Tobillos,ES,0
2400461,0101000020E61000000B1F1153224905C0705AF0A2AF984440,Tobes,ES,0
2400476,0101000020E6100000EBD3F198818A0CC0046EDDCD53114440,Titulcia,ES,945
2400508,0101000020E610000045EBA86A82A804C020EA3E00A9294440,Tinajas,ES,369
2400520,0101000020E6100000DBF4673F52840AC0A9E7A4F78D1F4440,Tielmes,ES,2359
2400588,0101000020E610000042A33B889DA907C027F224E99A454440,Tendilla,ES,345
2400706,0101000020E61000000F406A13277703C0BED4CF9B8AAC4440,Taroda,ES,75
2400731,0101000020E6100000439E245D337908C01CE1B4E045AB4440,Tarancueña,ES,0
2400732,0101000020E61000005578978BF80E08C02FD80DDB16014440,Tarancón,ES,15651
2400739,0101000020E610000091A98251499D08C0E1067C7E18694440,Taragudo,ES,39
2400743,0101000020E610000014E3FC4D280409C015A4198BA6534440,Taracena,ES,0
2400761,0101000020E61000007D52EDD3F1980DC0A5B393C1519E4440,Tanarro,ES,0
2400781,0101000020E6100000EC647094BCFA09C00D10CCD1E37F4440,Tamajón,ES,216
2400804,0101000020E61000006C179AEB34120CC04160E5D0225F4440,Talamanca de Jarama,ES,1984
2400853,0101000020E610000058BBED42735D05C02AFBAE08FE434440,Tabladillo,ES,0
2400990,0101000020E610000099FEEC478A880CC08169183E22A24440,Sotos de Sepulveda,ES,0
2401008,0101000020E6100000FA7953910A2303C0A6CB6262F3754440,Sotodosos,ES,67
2401013,0101000020E610000075103B53E83C0CC0E2DF675C38244440,Soto de Pajares,ES,0
2401029,0101000020E61000009AFEEC478A8804C07C96E7C1DD5D4440,Sotoca de Tajo,ES,0
2401030,0101000020E6100000E505D847A7AE02C04FE449D235174440,Sotoca,ES,0
2401061,0101000020E6100000EE8AE07F2B190DC07DA99F3715A14440,Sotillo,ES,38
2401135,0101000020E6100000445F419AB1A80CC0CB4065FCFB904440,Somosierra,ES,0
2401141,0101000020E61000005D9D6340F67A08C0476DE2E47E9F4440,Somolinos,ES,36
