Prop_ID,Name,Location,Num_of_Courts,Accessible,lat,lon,facilities_Id
" X228 "," I Am Park "," 147 St. & Jackson Ave. ",""," N "," 40.811 "," -73.9101 ",0
" X029 "," James Lyons Square Playground "," Aldus St. & Bryant Ave. ",""," N "," 40.8229 "," -73.8882 ",0
" X107 "," Julius Richman Park "," E 178 St. & Upper Level ",""," N "," 40.8466 "," -73.7865 ",0
" X033 "," Kossuth Playground "," Moshulu Pkwy N & Kossuth Ave. ",""," N "," 40.8776 "," -73.8827 ",0
" X163 "," Loreto Playground "," Morris Park, Tomlinson, Van Nest and Haight Aves. ",""," N "," 40.849 "," -73.8518 ",0
" X131 "," Lozada Playground "," Willis Ave. & E 135 St. ",""," N "," 40.8078 "," -73.9247 ",0
" X030 "," Macombs "," E 158th St. & Ruppert Plaza ",""," Y "," 40.8279 "," -73.9287 ",0
" X214 "," Magenta Playground "," Olinville Ave. & Rosewood St. ",""," N "," 40.8738 "," -73.8678 ",0
" X202 "," Marble Hill Playground "," Marble Hill Ave. between W 228 and W 230 Sts. ",""," N "," 40.8775 "," -73.9076 ",0
" X178 "," Matthews-Muliner Playground "," Matthews & Muliner Aves. ",""," N "," 40.8467 "," -73.8613 ",0
" X157 "," Mazzei Playground "," Mace Ave. & Williamsbridge Rd. ",""," N "," 40.8625 "," -73.8585 ",0
" X153 "," Merriam Playground (lower) "," W 168 St., Merriam Ave., Ogden Ave. and University Ave. ",""," N "," 40.8388 "," -73.9266 ",0
" X153 "," Merriam Playground (upper) "," W 168 St., Merriam Ave., Ogden Ave. and University Ave. ",""," N "," 40.8408 "," -73.9269 ",0
" X182 "," Millbrook Playground "," E 135 St. & Cypress Ave. ",""," N "," 40.8042 "," -73.9162 ",0
" X206 "," Morgan Playground "," E 168 St., Park Ave. and Washington Ave. ",""," N "," 40.8325 "," -73.9074 ",0
" X001A "," Morton Playground "," Morton Pl. & University Ave. ",""," N "," 40.8515 "," -73.9141 ",0
" X115 "," Mott Playground "," E 166 St. & Morris Ave. ",""," N "," 40.8314 "," -73.9146 ",0
