cartodb_id,mean_lateness,late_count,                  longitude,latitude,created_at,updated_at
87,0,0,                  11.2903236,44.5344725,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
88,12.5,1,                  -1.8620091,38.9532564,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
89,5.555555555555555,8,                  -0.452371,51.471162,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
90,1.7699115044247788,2,                  -5.8979651,37.4224346,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
91,0,0,                  -8.632692,42.2257998,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
92,0,0,                  -73.0937301,44.1350576,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
93,0,0,                  -0.1699865,51.156785,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
94,0,0,                  0.261515,51.889378,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
95,0,0,                  -6.06,36.744444,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
96,0,0,                  10.9053441,45.4032471,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
97,6.666666666666667,6,                  -4.4929809,36.6748624,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
98,1.8691588785046727,2,                  1.3682728,38.8761001,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
99,0,0,                  9.0581306,39.2526733,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
100,0,0,                  6.2068492,49.62691,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
101,0,0,                  10.226944,36.851111,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
102,0,0,                  21.0122287,52.2296756,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
103,7.6923076923076925,1,                  -74.1438147,4.7001032,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
104,11.76470588235294,2,                  -2.3722065,36.8458937,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
105,0,0,                  -3.027778,34.989167,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
106,22.22222222222222,2,                  3.21167,36.70058,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
107,0,0,                  -15.3874452,27.9393546,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
108,20,3,                  9.1881408,45.4636889,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
109,0,0,                  -13.8651534,28.4517861,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
110,3.3333333333333335,2,                  -0.560056,38.285483,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
111,0,0,                  19.08,50.474167,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
112,3.076923076923077,2,                  4.223833,39.8651668,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
113,0,0,                  9.1929807,48.6895454,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
114,0,0,                  17.9317461,59.652128,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
115,0,0,                  37.416573,55.966324,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
116,0,0,                  -8.0359144,31.610734,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
117,0,0,                  -6.0310175,43.5595602,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
118,0,0,                  -5.8704745,54.6155754,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
119,0,0,                  103.9891,1.3568,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
120,0,0,                  21.3339972,45.81,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
121,0,0,                  -3.3651869,55.9480408,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
122,0,0,                  -2.9111164,43.3024942,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
123,0,0,                  12.2027197,45.6512124,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
124,0,0,                  23.686111,46.785,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
125,0,0,                  19.2439543,47.433756,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
126,0,0,                  -60.0537722,-22.3586388,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
127,0,0,                  -38.532222,-3.775833,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
128,0,0,                  -0.3754418,51.8796697,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
129,0,0,                  23.951255,37.936357,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
130,23.076923076923077,3,                  28.820696,40.981955,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
132,0,0,                  -74.5309483,24.0651283,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
133,66.66666666666666,2,                  -71.0165331,42.3666479,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
134,13.636363636363635,6,                  8.5706956,50.0483986,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
135,0,0,                  16.8343443,52.41629,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
136,0,0,                  6.1422961,46.1983922,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
137,0,0,                  24.963333,60.317222,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
138,0,0,                  -1.640171,42.7671542,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
139,6.4732142857142865,29,                  -3.5676925,40.4684209,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
140,0,0,                  2.3641107,48.7261284,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
141,0,0,                  -1.7920808,43.3556608,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
142,21.428571428571427,3,                  -80.275614,25.796549,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
143,66.66666666666666,2,                  -57.56666,-36.7,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
144,0,0,                  -2.2745584,53.3628572,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
145,0,0,                  -1.3310307,52.8258683,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
146,14.285714285714285,1,                  -87.9051066,41.9764878,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
147,0,0,                  4.4409351,51.9577434,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
148,0,0,                  12.5908322,41.8003881,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
149,0,0,                  -78.488611,-0.141111,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
150,0,0,                  10.7865133,59.3791527,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
151,0,0,                  -86.7184776,33.5526206,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
152,0,0,                  -16.65157,13.34277,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
153,0,0,                  -118.4086631,33.9435273,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
154,0,0,                  -82.409167,22.989167,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
155,28.30188679245283,15,                  -73.7833351,40.6427112,2011-10-04 12:19:57.805327,2011-10-04 12:19:57.812332
